Entity Degree Quantile Bin,Avg. Coverage per Head (Green),Avg. Candidates per Head (Blue),Avg. Head Frequency (Orange)
Q1 (0-0),0.01,5,0.18
Q2 (1-2),0.05,26,0.47
Q3 (3-4),0.22,36,0.77
Q4 (5-5),0.28,46,0.88
Q5 (6-6),0.31,50,0.98
Q6 (7-8),0.36,54,1.05
Q7 (9-9),0.37,53,1.28
Q8 (10-11),0.43,57,1.37
Q9 (12-12),0.42,62,1.41
Q10 (13-13),0.43,67,1.55
Q11 (14-14),0.42,64,1.55
Q12 (15-16),0.43,72,1.55
Q13 (17-17),0.48,72,1.63
Q14 (18-18),0.45,79,1.54
Q15 (19-19),0.45,76,1.54
Q16 (20-21),0.46,81,1.76
Q17 (22-23),0.46,85,1.80
Q18 (24-25),0.46,93,2.02
Q19 (26-27),0.48,96,1.99
Q20 (28-30),0.46,104,2.23
Q21 (31-34),0.48,109,2.36
Q22 (35-40),0.52,120,2.72
Q23 (41-49),0.52,131,3.22
Q24 (50-67),0.47,141,4.39
Q25 (68-1325),0.38,195,9.26